Codice fiscale,Repertorio,Denominazione,Sezione,Cognome rapp legale,Nome rapp legale,Rete,Comune,Provincia,5x1000,Data iscrizione,Regione
4113430617,18318,A.A.C. - AUREA ASSISTENZA E CURA LOMBARDIA  SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,APICELLA,PAOLO,No,MILANO,MI,No,21/03/2022,Lombardia
3313560611,15487,A.A.C. AUREA ASSISTENZA E CURA ONLUS - SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,APICELLA,PAOLO,No,MILANO,MI,No,21/03/2022,Lombardia
97011910151,133764,A.A.E.E. ASSOCIAZIONE VOLONTARIA PER L'ANGIOEDEMA EREDITARIO ED ALTRE FORME RARE DI ANGIOEDEMA,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANTOVANO,PIETRO,No,MILANO,MI,Si,12/06/2024,Lombardia
11041690964,24111,A.A. ERREGI SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,GUIDA,ROSANNA,No,MILANO,MI,No,21/03/2022,Lombardia
95240020164,138836,AAPSE ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,DIOUF,MOHAMED,No,SAN PAOLO D'ARGON,BG,Si,27/06/2024,Lombardia
8833050969,23259,A&A SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,GIRALDI,GIOVANNI,No,COMO,CO,Si,21/03/2022,Lombardia
93066360194,101703,A.A.T. ASSOCIAZIONE AMICI DEL TORRIANI-ODV,ORGANIZZAZIONI DI VOLONTARIATO,GUERRESCHI,FEDERICO,No,CREMONA,CR,Si,10/03/2023,Lombardia
93017530143,38663,AAVSC - ASSOCIAZIONE AMICI E VOLONTARI SORDI VALTELLINESI ODV,ORGANIZZAZIONI DI VOLONTARIATO,MENICO,MAURO,No,SONDRIO,SO,No,11/07/2022,Lombardia
95071710123,86417,ABACO APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,GORLINI,SARA,No,GALLIATE LOMBARDO,VA,Si,07/11/2022,Lombardia
2190330122,121843,"""ABAD - SERVIZI E LAVORO SOC. COOP. SOCIALE A R.L. - ONLUS""",IMPRESE SOCIALI,DI CARLO,GIUSEPPE,No,INARZO,VA,Si,30/08/2023,Lombardia
97308220157,102430,ABAREKA' NANDREE - ASSOCIAZIONE PER LO SVILUPPO UMANO ODV,ORGANIZZAZIONI DI VOLONTARIATO,FREGGIARO,MARIA ANTONIETTA,No,MILANO,MI,Si,16/02/2023,Lombardia
2363230034,10668,A.B. ASSISTENZA SOCIETA' COOPERATIVA SOCIALE ONLUS,IMPRESE SOCIALI,GUIDA,ROSANNA,No,MILANO,MI,No,21/03/2022,Lombardia
97131900157,48333,ABBA' ASSOCIAZIONE PER IL SOSTEGNO E L'ASSISTENZA ALL'INFANZIA E ALLA GIOVENTU' ODV,ORGANIZZAZIONI DI VOLONTARIATO,FAINI,EBE VIRGINIA,No,MILANO,MI,Si,14/09/2022,Lombardia
90030350152,99394,ABBAIO COME VOGLIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,VEGGETTI,SARA,No,ROSATE,MI,Si,02/02/2023,Lombardia
95090080128,33671,ABBASSO LA GUERRA ODV,ORGANIZZAZIONI DI VOLONTARIATO,PAGANI,ELIO ANTONIO,No,VENEGONO INFERIORE,VA,No,26/05/2022,Lombardia
95022870166,85826,ABBM ASSOCIAZIONE BERGAMASCA BANDE MUSICALI - ENTE DI TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,BARONI,LAURA,No,BERGAMO,BG,Si,12/12/2022,Lombardia
11361350967,24218,"""ABBRACCIAMI SOCIETA' COOPERATIVA SOCIALE IMPRESA SOCIALE E.T.S."" VALIDAMENTE IDENTIFICABILE IMPRESA SOCIALE E.T.S",IMPRESE SOCIALI,NASR,HABIB,No,MILANO,MI,No,21/03/2022,Lombardia
91049580169,39602,ABBRACCIAPERTE BONATE SOPRA ODV,ORGANIZZAZIONI DI VOLONTARIATO,LORENZI,ROBERTO,No,BONATE SOPRA,BG,Si,12/07/2022,Lombardia
90023440168,46947,ABBRACCIAPERTE CLUSONE ODV ,ORGANIZZAZIONI DI VOLONTARIATO,GIUDICI,GIOVANNI DOMENICO,No,CLUSONE,BG,Si,05/09/2022,Lombardia
93061760190,51401,ABBRACCIAPERTE - COORDINAMENTO REGIONALE LOMBARDIA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BONIZZONI,ELENA,No,SORESINA,CR,No,29/09/2022,Lombardia
93040980190,62033,ABBRACCIAPERTE DI GADESCO PIEVE DELMONA,ORGANIZZAZIONI DI VOLONTARIATO,BELTRAMI,ANGELO,No,GADESCO PIEVE DELMONA,CR,No,27/10/2022,Lombardia
91017680199,51398,ABBRACCIAPERTE DI OFFANENGO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,LONGHI,GASTONE,No,OFFANENGO,CR,No,29/09/2022,Lombardia
92007280198,44791,ABBRACCIAPERTE SORESINA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,STOPELLI,MARCO,No,SORESINA,CR,No,03/08/2022,Lombardia
3969390131,17933,ABBRACCIO AMICO SOCIETA' COOPERATIVA SOCIALE IN LIQUIDAZIONE,IMPRESE SOCIALI,ZUCCA,MASSIMILIANO,No,COMO,CO,No,21/03/2022,Lombardia
2408600183,26275,ABBRACCIO COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,MARANGON,MOIRA,No,VOGHERA,PV,No,21/03/2022,Lombardia
95215970161,79644,A B C - ALLEGRA BRIGATA CINEMATICA A.P.S. ,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MAROSSI,EUGENIO,No,BERGAMO,BG,Si,15/11/2022,Lombardia
91172640376,102664,ABC ASSOCIAZIONE BAMBINI CEREBROLESI FEDERAZIONE ITALIANA ODV,ORGANIZZAZIONI DI VOLONTARIATO,ESPA,MARCO,No,MILANO,MI,No,16/02/2023,Lombardia
97208650156,35805,ABC ASSOCIAZIONE BAMBINI CEREBROLESI LOMBARDIA ODV ,ORGANIZZAZIONI DI VOLONTARIATO,OSSOLA,MAURO,No,LEGGIUNO,VA,Si,16/06/2022,Lombardia
3316610132,15495,ABC DOMICILIARE SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,COLOMBO,DANIELA,No,MERATE,LC,No,21/03/2022,Lombardia
94025770176,121481,ABC-ITALY APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FIORE,GIUSEPPE,No,DESENZANO DEL GARDA,BS,Si,09/10/2023,Lombardia
12620400155,24656,ABCITTA' SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,ZANELLI,CRISTIAN,No,MILANO,MI,No,21/03/2022,Lombardia
4536470968,19098,ABC LA SAPIENZA IN TAVOLA - COOPERATIVA SOCIALE,IMPRESE SOCIALI,POLLERI,SILVIA,No,MILANO,MI,Si,21/03/2022,Lombardia
92019250122,40226,ABC MONDO ODV,ORGANIZZAZIONI DI VOLONTARIATO,FUMAGALLI,CINZIA,No,BESOZZO,VA,Si,22/07/2022,Lombardia
97761210158,25859,ABC SICURA ASSISTENZA SOC. COOPERATIVA SOCIALE A R.L.,IMPRESE SOCIALI,BAJ,FABRIZIO,No,MILANO,MI,No,21/03/2022,Lombardia
8450820967,23059,ABC...ZETA  SOCIETA' COOPERATIVA SOCIALE,IMPRESE SOCIALI,COBO,GLEDIS,No,CASSANO D'ADDA,MI,No,21/03/2022,Lombardia
93023600203,64413,A.B.E.O. - ASSOCIAZIONE BAMBINO EMOPATICO ONCOLOGICO MANTOVA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,CORGHI,VANNI,No,MANTOVA,MN,Si,04/11/2022,Lombardia
2077230189,9297,ABETE COOPERATIVA SOCIALE - ONLUS VALIDAMENTE IDENTIFICATA IN SIGLA COME ABETE SOC. COOP.,IMPRESE SOCIALI,MEGASSINI,PAOLO,No,VOGHERA,PV,No,21/03/2022,Lombardia
93042090196,103460,ABIBO' APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FRUGONI,CECILIA,No,CREMONA,CR,Si,23/03/2023,Lombardia
3832390987,17584,ABIBOOK SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,TORTELLA,ANDREA BIAGIO GIOVANNI,No,BRESCIA,BS,No,21/03/2022,Lombardia
97418300154,102861,ABILI NELL'APPRENDERE ODV,ORGANIZZAZIONI DI VOLONTARIATO,SIMEONI,LAURA MARIA,No,MILANO,MI,Si,16/02/2023,Lombardia
92057280155,38262,ABILITA' DIVERSE- ASSOCIAZIONE DI PROMOZIONE SOCIALE,ASSOCIAZIONI DI PROMOZIONE SOCIALE,MANFREDA,MORENA,No,RESCALDINA,MI,Si,30/08/2022,Lombardia
95189090160,37518,ABILITARE CONVIVENDO ODV,ORGANIZZAZIONI DI VOLONTARIATO,PERICO,DANILO,No,MOZZO,BG,Si,27/06/2022,Lombardia
90041140139,38962,ABILITIAMO AUTISMO ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,MARTINELLI,ANNALISA,No,CANTU',CO,Si,28/07/2022,Lombardia
92004520133,45018,ABILMENTE ODV,ORGANIZZAZIONI DI VOLONTARIATO,STROPENI,ALBERTO,No,MANDELLO DEL LARIO,LC,Si,18/08/2022,Lombardia
95087660163,33143,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE BERGAMO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,CHIARI,AURORA,No,BERGAMO,BG,No,27/05/2022,Lombardia
91017710194,39682,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE CREMA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,MARAZZI,ORTENSIA,No,CREMA,CR,No,19/07/2022,Lombardia
93038940198,44781,ABIO-ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE CREMONA-ODV,ORGANIZZAZIONI DI VOLONTARIATO,GEREVINI,MARINA MARIA,No,CREMONA,CR,No,12/08/2022,Lombardia
93018150172,40668,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE - DESENZANO DEL GARDA ODV,ORGANIZZAZIONI DI VOLONTARIATO,SACCHELLA,SUSANNA,No,DESENZANO DEL GARDA,BS,No,14/07/2022,Lombardia
97014680173,40701,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE DI MANERBIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,CIVIDATI,PAOLA,No,MANERBIO,BS,No,14/07/2022,Lombardia
90010170174,40676,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE ESINE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BURLOTTI,ALBA,No,ESINE,BS,No,14/07/2022,Lombardia
92053850134,85311,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE LECCO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BONACINA,GLORIA,No,LECCO,LC,No,30/11/2022,Lombardia
91549180155,60956,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE MARTESANA - ODV,ORGANIZZAZIONI DI VOLONTARIATO,LOVERI,ALESSANDRA,No,CERNUSCO SUL NAVIGLIO,MI,Si,27/10/2022,Lombardia
92508250153,29802,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE MELEGNANO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BONVINI,SIMONA,No,VIZZOLO PREDABISSI,MI,No,22/04/2022,Lombardia
94014830130,81272,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE MERATE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,ROSINA,MARINA,No,MERATE,LC,No,10/11/2022,Lombardia
93030580208,41456,ABIO - ASSOCIAZIONE  PER IL BAMBINO IN OSPEDALE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,FARRI,GLORIA,No,MANTOVA,MN,No,26/07/2022,Lombardia
80176590158,51228,ABIO - ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,DE BERNARDI,EUGENIO,No,MILANO,MI,No,29/09/2022,Lombardia
96045830187,91311,A.B.I.O. ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE PAVIA ODV,ORGANIZZAZIONI DI VOLONTARIATO,IOVINE,DANIELA,No,PAVIA,PV,No,05/12/2022,Lombardia
93009390142,34189,ABIO-ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE SONDRIO ODV,ORGANIZZAZIONI DI VOLONTARIATO,PRESAZZI,SOFIA,No,SONDRIO,SO,No,14/06/2022,Lombardia
93024810165,33144,ABIO ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE TREVIGLIO  ODV,ORGANIZZAZIONI DI VOLONTARIATO,COLOMBO,FERDINANDO,No,TREVIGLIO,BG,No,27/05/2022,Lombardia
94511210158,47331,ABIO BRIANZA-ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE-ODV,ORGANIZZAZIONI DI VOLONTARIATO,BOCCEDA,SUSANNA,No,MONZA,MB,Si,08/08/2022,Lombardia
95017050139,37084,ABIO COMO ODV - ASSOCIAZIONE BAMBINO IN OSPEDALE,ORGANIZZAZIONI DI VOLONTARIATO,BOTTACIN,FRANCA,No,COMO,CO,No,30/06/2022,Lombardia
92519800152,80629,ABIO LODI ODV,ORGANIZZAZIONI DI VOLONTARIATO,CAMBIE',MAURIZIA,No,LODI,LO,No,21/11/2022,Lombardia
93535310150,82951,ABIO RHO ODV ASSOCIAZIONE PER IL BAMBINO IN OSPEDALE,ORGANIZZAZIONI DI VOLONTARIATO,GIANNINI,ROSSELLA MARINA,No,RHO,MI,No,30/11/2022,Lombardia
98111240176,85913,A.B.I.S. ASSOCIAZIONE BRESCIANA INCONTINENTI E STOMIZZATI - ORGANIZZAZIONE DI VOLONTARIATO O ODV,ORGANIZZAZIONI DI VOLONTARIATO,GAIDOLFI,ALESSANDRO,No,BRESCIA,BS,No,07/11/2022,Lombardia
80030290169,25281,ABITA COOPERATIVA SOCIALE,IMPRESE SOCIALI,RABAIOTTI,GABRIELE,No,BERGAMO,BG,No,21/03/2022,Lombardia
10322760967,23841,ABITAMI SOCIETA' COOPERATIVA SOCIALE CONSORTILE,IMPRESE SOCIALI,CAMARIN,LORIS,No,MILANO,MI,No,21/03/2022,Lombardia
98227720178,131206,ABITARE LA VITA - ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,PRATI,CARLO RINALDO,No,BOTTICINO,BS,Si,08/04/2024,Lombardia
95224030163,131160,ABITARE LE ETA' ETS,ALTRI ENTI DEL TERZO SETTORE,GRECO,FRANCO,No,BERGAMO,BG,Si,01/03/2024,Lombardia
8970630961,23329,ABITARE LEGGERO IMPRESA SOCIALE S.R.L. - IN LIQUIDAZIONE,IMPRESE SOCIALI,CESARINI,STEFANO,No,MILANO,MI,No,21/03/2022,Lombardia
8327960962,22987,ABITARE SOCIALE METROPOLITANO IMPRESA SOCIALE S.R.L.,IMPRESE SOCIALI,GRANATA,STEFANO DAVIDE,No,MILANO,MI,No,21/03/2022,Lombardia
6844060969,21931,ABPSI ONLUS COOPERATIVA SOCIALE A RESPONSABILITA' LIMITATA,IMPRESE SOCIALI,PANSERI,CHIARA,No,BOLLATE,MI,Si,21/03/2022,Lombardia
3543800175,16464,ABRACADABRA  -  SOCIETA' COOPERATIVA SOCIALE - ONLUS,IMPRESE SOCIALI,FRANCESCHETTI,FIORENZA,No,BRESCIA,BS,Si,21/03/2022,Lombardia
97416850150,105483,A BRACCIA APERTE ODV,ORGANIZZAZIONI DI VOLONTARIATO,SANTU,ANTONIO,No,MILANO,MI,Si,09/03/2023,Lombardia
93082380200,143102,A BRACCIA APERTE ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,MARTIN,MICHAEL,No,CURTATONE,MN,Si,15/10/2024,Lombardia
91036800190,41657,A BRACCIA LARGHE - ODV,ORGANIZZAZIONI DI VOLONTARIATO,BIANCHESSI,TIZIANA,No,ROMANENGO,CR,No,22/07/2022,Lombardia
97313310829,83135,ABRCADABRA ENTE DEL TERZO SETTORE,ALTRI ENTI DEL TERZO SETTORE,CAMPANELLA,MARIA,No,SETTIMO MILANESE,MI,Si,19/01/2023,Lombardia
12014690965,3279,ABYSS CLEANUP APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,D INDIA,IGOR,No,MILANO,MI,Si,07/04/2022,Lombardia
97158360152,60947,A-B-ZERO-DONATORI DI SANGUE - S.RAFFAELE ODV,ORGANIZZAZIONI DI VOLONTARIATO,CICERI,FABIO,No,MILANO,MI,Si,27/10/2022,Lombardia
93062400192,48828,ACADEMIA CREMONENSIS APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,COLONNA,GIOVANNI,No,CREMONA,CR,Si,26/09/2022,Lombardia
93032460144,579,A CASA DI GIUSY APS,ASSOCIAZIONI DI PROMOZIONE SOCIALE,FIORI,ROSARIA,No,SONDRIO,SO,Si,03/02/2022,Lombardia
97767630151,96629,A CASA LONTANI DA CASA ODV,ORGANIZZAZIONI DI VOLONTARIATO,ARRIGONI,GUIDO,No,MILANO,MI,Si,19/01/2023,Lombardia
93017270120,81232,A.C.A.T. ALTOVARESOTTO ODV,ORGANIZZAZIONI DI VOLONTARIATO,RODARI,ROBERTO,No,LUINO,VA,Si,01/02/2023,Lombardia
95064120132,82802,ACAT--ASSOCIAZIONE CLUB ALCOLOGICI TERRITORIALI ODV,ORGANIZZAZIONI DI VOLONTARIATO,CIRILLO,ANGELO,No,TAVERNERIO,CO,No,30/11/2022,Lombardia
95054660162,101393,A.C.A.T. BERGAMO ODV,ORGANIZZAZIONI DI VOLONTARIATO,FRIGENI,MAURIZIO,No,BERGAMO,BG,No,13/02/2023,Lombardia
98102670175,85917,A.C.A.T. BRESCIA ASSOCIAZIONE CLUB ALCOLOGICI TERRITORIALI BRESCIA (METODO HUDOLIN),ORGANIZZAZIONI DI VOLONTARIATO,RIVA,CARLO,No,BRESCIA,BS,Si,07/11/2022,Lombardia
93013270199,40215,ACAT CREMONA E TERRITORIO-ODV ASSOCIAZIONE DEI CLUB ALCOLOGICI TERRITORIALI E DEI CLUB DI ECOLOGIA FAMIGLIARE (METODO HUDOLIN),ORGANIZZAZIONI DI VOLONTARIATO,SORINI,EMANUELE,No,CREMONA,CR,Si,20/07/2022,Lombardia
93018950175,109058,A.C.A.T. GARDESANA ASSOCIAZIONE CLUB ALCOLOGICI TERRITORIALI (METODO HUDOLIN) - ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,SACCHI,SERGIO,No,LONATO DEL GARDA,BS,Si,04/04/2023,Lombardia
97639910153,102852,ACAT HUDOLIN MILANO ORGANIZZAZIONE DI VOLONTARIATO,ORGANIZZAZIONI DI VOLONTARIATO,RIVA,GUIDO,No,MILANO,MI,No,16/02/2023,Lombardia
92028080130,121084,ACAT LECCO VALLE SAN MARTINO (ASSOCIAZIONE DEI CLUB ALCOLOGICI TERRITORIALI) O.D.V.,ORGANIZZAZIONI DI VOLONTARIATO,CASTELNUOVO,PIERANGELO,No,LECCO,LC,Si,08/09/2023,Lombardia
97066520152,105541,A.C.A.T. MILANO - ODV,ORGANIZZAZIONI DI VOLONTARIATO,CAFFARATTI,MARINA BICE ELIDE,No,MILANO,MI,No,09/03/2023,Lombardia
96031070186,50264,A.C.A.T. PAVIA ODV - ASSOCIAZIONE DEI CLUB ALCOLOGICI TERRITORIALI (METODO HUDOLIN),ORGANIZZAZIONI DI VOLONTARIATO,CARENA,DANIELA,No,PAVIA,PV,Si,26/09/2022,Lombardia
93038960154,1460,ACBS - ASSOCIAZIONE CONTRO IL BULLISMO SCOLASTICO ODV,ORGANIZZAZIONI DI VOLONTARIATO,VETERE,VINCENZO,No,MAGNAGO,MI,Si,11/03/2022,Lombardia
7143060965,22130,ACCADEMIA AMBROSIANA SOC.COOP. SOCIALE,IMPRESE SOCIALI,DRUFUCA,ALBERTO,No,LISSONE,MB,No,21/03/2022,Lombardia
